"business_product_id";"discriminator";"changed_time";"deleted";"name";"name_or_number";"product_type";"parent_product_ids";"street";"house_number";"box_number";"postal_code";"city_name";"main_city_name";"x";"y";"lat";"long";"distance";"promotional_region";"green_key_labeled";"accessibility_label";"closing_period";"next_year_closing_period";"phone1";"phone2";"phone3";"email";"website";"facebook";"twitter";"flickr";"instagram";"product_description";"cafeteria_present";"bar_cafe_cafetaria";"bikes_available";"child_animation";"dumping_station";"fishing";"internet_connection";"jacuzzi";"lake";"laundry_service";"mini_golf";"other_sports";"pets_allowed";"play_ground";"restaurant";"sauna";"shop";"solarium";"specific_children_facilities";"specific_large_families_facilities";"specific_senior_facilities";"swimming";"tennis_court";"comfort_class";"status";"last_status_change_date";"number_of_units";"maximum_capacity";"number_of_short_term_camping_spots";"number_of_touristic_camping_spots";"number_of_camper_stands";"number_of_camping_spots";"number_of_residence_units";"number_of_long_term_camping_spots";"number_of_residence_units_for_rental";"number_of_hikers_huts";"current_year_tourist_pitch_per_night_min";"current_year_tourist_pitch_per_night_max";"current_year_camping_field_pitch_per_night_min";"current_year_camping_field_pitch_per_night_max";"current_year_camping_field_pitch_per_year_min";"current_year_camping_field_pitch_per_year_max";"current_year_caravan_bungalow_per_weekend_min";"current_year_caravan_bungalow_per_weekend_max";"current_year_caravan_bungalow_per_midweek_min";"current_year_caravan_bungalow_per_midweek_max";"current_year_caravan_bungalow_per_week_min";"current_year_caravan_bungalow_per_week_max";"current_year_tent_per_weekend_min";"current_year_tent_per_weekend_max";"current_year_tent_per_midweek_min";"current_year_tent_per_midweek_max";"current_year_tent_per_week_min";"current_year_tent_per_week_max";"next_year_tourist_pitch_per_night_min";"next_year_tourist_pitch_per_night_max";"next_year_camping_field_pitch_per_night_min";"next_year_camping_field_pitch_per_night_max";"next_year_camping_field_pitch_per_year_min";"next_year_camping_field_pitch_per_year_max";"next_year_caravan_bungalow_per_weekend_min";"next_year_caravan_bungalow_per_weekend_max";"next_year_caravan_bungalow_per_midweek_min";"next_year_caravan_bungalow_per_midweek_max";"next_year_caravan_bungalow_per_week_min";"next_year_caravan_bungalow_per_week_max";"next_year_tent_per_weekend_min";"next_year_tent_per_weekend_max";"next_year_tent_per_midweek_min";"next_year_tent_per_midweek_max";"next_year_tent_per_week_min";"next_year_tent_per_week_max";"parking_available";"discount_children";"direct_booking_link";"imagesurl";"imagesurlmain"
"378205";"CAMPING";"2025-03-07 01:03:28";"0";"";"";"BASE";"";"-";"";"";"2660";"Hoboken";"Antwerpen";"";"";"";"";"";"kunststadAntwerpen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2018-06-28 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"378347";"CAMPING";"2020-01-28 12:10:03";"1";"";"";"BASE";"";"-";"";"";"8554";"Sint-Denijs";"Zwevegem";"";"";"";"";"";"leieStreek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2018-06-08 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"378351";"CAMPING";"2025-03-07 01:13:11";"0";"";"";"BASE";"";"-";"";"";"2328";"Meerle";"Hoogstraten";"";"";"";"";"";"antwerpseKempen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2024-10-18 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"378515";"CAMPING";"2025-03-07 01:07:24";"0";"";"";"BASE";"";"-";"";"";"2850";"Boom";"Boom";"";"";"";"";"";"scheldeland";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2018-06-25 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"379939";"CAMPING";"2025-03-06 17:35:52";"0";"";"";"BASE";"";"-";"";"";"3990";"Peer";"Peer";"";"";"";"";"";"limburgseKempen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2019-10-24 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"379940";"CAMPING";"2019-10-24 09:16:02";"1";"";"";"BASE";"";"-";"";"";"3990";"Peer";"Peer";"";"";"";"";"";"limburgseKempen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2019-01-08 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"379957";"CAMPING";"2025-03-07 01:27:56";"0";"";"";"BASE";"";"-";"";"";"2350";"Vosselaar";"Vosselaar";"";"";"";"";"";"antwerpseKempen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2018-11-27 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"380227";"CAMPING";"2025-03-06 14:59:59";"0";"";"";"BASE";"";"-";"";"";"3840";"Borgloon";"Tongeren-Borgloon";"";"";"";"";"";"haspengouw";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2023-08-18 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"380335";"CAMPING";"2025-03-06 11:30:25";"0";"";"";"BASE";"";"-";"";"";"8550";"Zwevegem";"Zwevegem";"";"";"";"";"";"leieStreek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2022-02-24 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"382027";"CAMPING";"2025-03-07 01:22:17";"0";"";"";"BASE";"";"-";"";"";"2840";"Rumst";"Rumst";"";"";"";"";"";"scheldeland";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STOPPED";"2023-07-20 00:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
